Etablissement;Année;Ville;Taux Brut de Réussite série L;Taux Brut de Réussite série ES;Taux Brut de Réussite série S;Académie
LYCEE SAINT JOSEPH;2013;ST MARTIN BOULOGNE;;;100;LILLE
LYCEE SUZANNE VALADON (GENERAL ET TECHNO.);2013;LIMOGES;87;90;;LIMOGES
LYCEE JEAN PUY;2013;ROANNE;83;76;90;LYON
LYCEE SAINT LOUIS;2013;ST ETIENNE;100;100;90;LYON
LYCEE CHEVREUL LESTONNAC;2013;LYON 07;;;;LYON
LYCEE JEAN PERRIN;2013;LYON 09;74;92;89;LYON
LYCEE JACQUES BREL;2013;VENISSIEUX;100;67;83;LYON
LYCEE NOTRE DAME DE MONGRE;2013;VILLEFRANCHE S SAONE CED;100;98;98;LYON
LYCEE DU NORD CARAIBE (GENERAL ET TECHNO.);2013;BELLEFONTAINE;100;89;100;MARTINIQUE
LYCEE ANDRE CHAMSON (GENERAL ET TECHNO.);2013;LE VIGAN;77;95;94;MONTPELLIER
LYCEE JEAN LURCAT (GENERAL ET TECHNO.);2013;PERPIGNAN;89;79;87;MONTPELLIER
LYCEE JACQUES CALLOT;2013;VANDOEUVRE LES NANCY;88;83;82;NANCY-METZ
LYCEE JEAN DE PANGE;2013;SARREGUEMINES;86;95;98;NANCY-METZ
LYCEE FILIERE BOIS ANDRE MALRAUX;2013;REMIREMONT;86;98;95;NANCY-METZ
LYCEE BLANCHE DE CASTILLE;2013;NANTES;100;100;100;NANTES
LYCEE VIAL;2013;NANTES;;94;;NANTES
LYCEE LA BAUGERIE;2013;ST SEBASTIEN SUR LOI CED;;;;NANTES
LYCEE RAOUL VADEPIED (GENERAL ET TECHNO.);2013;EVRON;100;100;97;NANTES
LYCEE PERSEIGNE (GENERAL ET TECHNO.);2013;MAMERS;93;91;88;NANTES
LYCEE NOTRE DAME;2013;FONTENAY LE COMTE;100;95;100;NANTES
LYCEE SAVARY DE MAULEON;2013;LES SABLES D OLONNE CEDE;100;89;95;NANTES
LYCEE DON BOSCO;2013;NICE;;100;97;NICE
LYCEE ROUVIERE (GENERAL ET TECHNO.);2013;TOULON;;;94;NICE
LYCEE HENRI BRISSON (GENERAL ET TECHNO.);2013;VIERZON;;;100;ORLEANS-TOURS
LYCEE EMILE ZOLA;2013;CHATEAUDUN;100;98;95;ORLEANS-TOURS
LYCEE PASTEUR (GENERAL ET TECHNO.);2013;LE BLANC;88;90;100;ORLEANS-TOURS
LYCEE AUGUSTIN THIERRY (GENERAL ET TECHNO.);2013;BLOIS;88;92;79;ORLEANS-TOURS
LYCEE HOTEL.ET TOURISME VAL DE LOIRE (GENERAL ET TECHNO.);2013;BLOIS;;;;ORLEANS-TOURS
LYCEE SAINT PAUL-BOURDON BLANC;2013;ORLEANS;90;94;64;ORLEANS-TOURS
LYCEE SAINT-THOMAS D'AQUIN;2013;PARIS 07;100;98;100;PARIS
LYCEE CATHERINE LABOURE (GENERAL ET TECHNO.);2013;PARIS 14;;93;;PARIS
LYCEE AUGUSTE RENOIR;2013;PARIS 18;;;;PARIS
LYCEE LOUIS AUDOUIN DUBREUIL (GENERAL ET TECHNO.);2013;ST JEAN D ANGELY;95;87;97;POITIERS
LYCEE JEAN MACE;2013;NIORT;94;86;96;POITIERS
LYCEE JEAN MOULIN;2013;MONTMORILLON;95;88;89;POITIERS
LYCEE AUGUSTE BLANQUI (GENERAL ET TECHNO.);2012;ST OUEN CEDEX;48;74;59;CRETEIL
LYCEE LOUISE MICHEL;2012;CHAMPIGNY SUR MARNE CEDE;81;90;86;CRETEIL
LYCEE FRANCOIS ARAGO (GENERAL ET TECHNO.);2012;VILLENEUVE ST GEORGES;67;89;81;CRETEIL
LYCEE JULES RENARD;2012;NEVERS CEDEX;92;;90;DIJON
LYCEE SAINT CYR;2012;NEVERS CEDEX;90;89;86;DIJON
LYCEE CAMILLE CLAUDEL;2012;DIGOIN;81;84;87;DIJON
LYCEE JEANNE D'ARC;2012;PARAY LE MONIAL;100;100;100;DIJON
LYCEE ARISTIDES BERGES;2012;SEYSSINET PARISET CEDEX;89;93;95;GRENOBLE
LYCEE GALILEE;2012;VIENNE CEDEX;;;100;GRENOBLE
LYCEE RENE PERRIN;2012;UGINE;;;87;GRENOBLE
LYCEE NORD BASSE TERRE;2012;STE ROSE;96;88;89;GUADELOUPE
LYCEE FELIX EBOUE;2012;CAYENNE CEDEX;91;73;79;GUYANE
LYCEE SARDA GARRIGA;2012;ST ANDRE;100;94;92;LA REUNION
LYCEE LE VERGER;2012;STE MARIE;75;83;83;LA REUNION
LYCEE ALFRED KASTLER;2012;DENAIN CEDEX;;80;85;LILLE
LYCEE ST JEAN-BAPTISTE DE LA SALLE;2012;LILLE;;;;LILLE
LYCEE HOTELIER;2012;LE TOUQUET PARIS PLAGE;;;;LILLE
LYCEE JEAN COCTEAU;2012;MIRAMAS CEDEX;90;85;80;AIX-MARSEILLE
LYCEE MARIE CURIE;2012;MARSEILLE CEDEX 05;;;;AIX-MARSEILLE
LYCEE DOMINIQUE VILLARS;2012;GAP CEDEX;97;93;95;AIX-MARSEILLE
LYCEE ALCIDE DUSOLIER (GENERAL ET TECHNO.);2012;NONTRON;100;86;93;BORDEAUX
LYCEE JEANNE D'ARC;2012;CHAMPAGNOLE CEDEX;;;;BESANCON
LYCEE GAY LUSSAC;2012;CHAUNY CEDEX;90;87;78;AMIENS
LYCEE FREDERIC MISTRAL;2012;AVIGNON CEDEX;87;86;88;AIX-MARSEILLE
LYCEE EUROPEEN;2012;VILLERS COTTERETS;91;92;90;AMIENS
LYCEE LOUIS LIARD (GENERAL ET TECHNO.);2012;FALAISE;91;85;89;CAEN
LYCEE JULES SUPERVIELLE;2012;OLORON STE MARIE CEDEX;100;98;95;BORDEAUX
LYCEE DE LA CHIMIE ALBERT CAMUS;2012;MOURENX;100;89;88;BORDEAUX
LYCEE GASTON CRAMPE (GENERAL ET TECHNO.);2012;AIRE SUR L ADOUR CEDEX;92;89;90;BORDEAUX
LYCEE STE MARIE GRAND LEBRUN;2012;BORDEAUX CEDEX;100;99;96;BORDEAUX
LYCEE NAPOLEON;2012;L AIGLE CEDEX;87;100;92;CAEN
LYCEE PIERRE ET MARIE CURIE;2012;ST LO CEDEX;;;86;CAEN
LYCEE PAUL GUERIN;2012;NIORT CEDEX;73;93;89;POITIERS
LYCEE VICTOR HUGO;2012;POITIERS CEDEX;88;97;93;POITIERS
LYCEE PIERRE BAYLE;2012;SEDAN;60;73;78;REIMS
LYCEE LA SALLE;2012;TROYES;;;;REIMS
LYCEE GODART ROGER (GENERAL ET TECHNO.);2012;EPERNAY CEDEX;;85;93;REIMS
LYCEE ST JOSEPH;2012;LAMBALLE CEDEX;100;100;100;RENNES
LYCEE DE L'HARTELOIRE;2012;BREST CEDEX;88;93;97;RENNES
LYCEE ESTRAN FENELON;2012;BREST CEDEX;;;;RENNES
LYCEE JULES LESVEN;2012;BREST CEDEX;;96;;RENNES
LYCEE STE THERESE;2012;QUIMPER CEDEX;100;93;97;RENNES
INSTITUTION ST MALO-PROVIDENCE;2012;ST MALO CEDEX;97;98;100;RENNES
LYCEE ST LOUIS;2012;LORIENT CEDEX;93;84;89;RENNES
LYCEE REY;2012;BOIS GUILLAUME;92;88;90;ROUEN
LYCEE VAL DE SEINE;2012;LE GRAND QUEVILLY CEDEX;52;76;84;ROUEN
LYCEE ROBERT SCHUMAN;2012;LE HAVRE;60;53;76;ROUEN
LYCEE PORTE OCEANE (GENERAL ET TECHNO.);2012;LE HAVRE CEDEX;56;52;73;ROUEN
LYCEE STANISLAS;2012;WISSEMBOURG CEDEX;96;99;97;STRASBOURG
LYCEE ROBERT SCHUMAN (GENERAL ET TECHNO.);2013;CHARENTON LE PONT;89;74;82;CRETEIL
LYCEE GUILLAUME BUDE (GENERAL ET TECHNO.);2013;LIMEIL BREVANNES;96;86;84;CRETEIL
LYCEE GUILLAUME APOLLINAIRE;2013;THIAIS;91;86;89;CRETEIL
CLOS MAIRE (GENERAL ET TECHNO.);2013;BEAUNE;81;83;88;DIJON
LYCEE DESIRE NISARD (GENERAL ET TECHNO.);2013;CHATILLON SUR SEINE CEDE;94;96;84;DIJON
LYCEE JACQUES AMYOT;2013;AUXERRE;96;97;93;DIJON
LYCEE CHEVALIER D'EON (GENERAL ET TECHNO.);2013;TONNERRE;69;95;85;DIJON
LYCEE FRANCOIS JEAN ARMORIN (GENERAL ET TECHNO.);2013;CREST;88;93;95;GRENOBLE
LYCEE DU DAUPHINE (GENERAL ET TECHNO.);2013;ROMANS-SUR-ISERE;;;98;GRENOBLE
LYCEE URUGUAY FRANCE;2012;AVON CEDEX;60;91;95;CRETEIL
LYCEE ALBERT LONDRES;2012;CUSSET CEDEX;98;79;83;CLERMONT-FERRAND
LYCEE LAETITIA BONAPARTE;2012;AJACCIO CEDEX;93;94;96;CORSE
LYCEE CHARLES ET ADRIEN DUPUY;2012;LE PUY EN VELAY CEDEX;91;;86;CLERMONT-FERRAND
LYCEE ST-JACQUES DE COMPOSTELLE;2012;LE PUY EN VELAY;88;100;97;CLERMONT-FERRAND
LYCEE FREDERIC JOLIOT CURIE;2012;DAMMARIE LES LYS CEDEX;76;90;93;CRETEIL
LYCEE JEAN ROSE;2012;MEAUX CEDEX;;;;CRETEIL
LYCEE HUGUES LIBERGIER;2013;REIMS;;76;87;REIMS
LYCEE BEAUMONT;2013;REDON;93;88;99;RENNES
LYCEE STE THERESE;2013;RENNES;;;;RENNES
INSTITUTION ST MALO-PROVIDENCE;2013;ST MALO;100;97;99;RENNES
LYCEE SAINT-OUEN;2013;ST GERMAIN VILLAGE;78;93;83;ROUEN
LYCEE GUY DE MAUPASSANT;2013;FECAMP;88;87;94;ROUEN
LYCEE LA PROVIDENCE;2013;LE MESNIL ESNARD;100;97;97;ROUEN
LYCEE MARIE CURIE;2013;STRASBOURG;95;94;91;STRASBOURG
SEMINAIRE DE  JEUNES;2013;WALBOURG;100;97;100;STRASBOURG
LYCEE GASTON MONNERVILLE (GENERAL ET TECHNO.);2013;CAHORS;;;88;TOULOUSE
LYCEE JEAN LURCAT;2013;ST CERE;91;98;90;TOULOUSE
LYCEE VICTOR HUGO;2013;GAILLAC;90;94;96;TOULOUSE
LYCEE PARC DES LOGES;2013;EVRY;96;87;93;VERSAILLES
LYCEE JEAN BAPTISTE COROT;2013;SAVIGNY SUR ORGE;92;87;90;VERSAILLES
LYCEE CONDORCET (GENERAL ET TECHNO.);2013;LIMAY;90;100;91;VERSAILLES
LYCEE LES CHATAIGNIERS;2013;VERSAILLES;;;;VERSAILLES
LYCEE SACRE COEUR (LE);2014;AIX EN PROVENCE;100;96;98;AIX-MARSEILLE
LYCEE STE MARIE;2014;AIX EN PROVENCE;;;;AIX-MARSEILLE
LYCEE CHEVREUL BLANCARDE;2014;MARSEILLE 04;100;95;100;AIX-MARSEILLE
LYCEE ST JOSEPH DE LA MADELEINE;2014;MARSEILLE 04;96;100;98;AIX-MARSEILLE
LYCEE MARSEILLEVEYRE;2014;MARSEILLE 08;78;88;89;AIX-MARSEILLE
LYCEE LA CADENELLE;2014;MARSEILLE 12;;;;AIX-MARSEILLE
LYCEE LACORDAIRE;2014;MARSEILLE 13;100;100;100;AIX-MARSEILLE
LYCEE FELIX FAURE;2014;BEAUVAIS;84;84;89;AMIENS
LYCEE MIREILLE GRENET;2014;COMPIEGNE;89;91;76;AMIENS
LYCEE MONTALEMBERT;2014;DOULLENS;75;94;97;AMIENS
LYCEE LUMIERE (GENERAL ET TECHNO.);2014;LUXEUIL LES BAINS;89;88;94;BESANCON
LYCEE ARNAUT DANIEL;2014;RIBERAC;100;94;85;BORDEAUX
LYCEE ST ELME;2014;ARCACHON;100;100;100;BORDEAUX
LYCEE JAUFRE RUDEL;2014;BLAYE;97;85;94;BORDEAUX
LYCEE ST JOSEPH DE TIVOLI;2014;BORDEAUX;100;100;100;BORDEAUX
LYCEE DE LA MER (GENERAL ET TECHNO.);2014;GUJAN MESTRAS;;;89;BORDEAUX
LYCEE NOTRE DAME LA COMPASSION;2014;MARMANDE;100;63;93;BORDEAUX
LYCEE STE CATHERINE;2014;VILLENEUVE SUR LOT;67;100;100;BORDEAUX
LYCEE LOUIS DE FOIX;2014;BAYONNE;;88;98;BORDEAUX
EXTERNAT DE LA TRINITE;2014;LYON 06;100;91;92;LYON
LYCEE CHEVREUL;2014;LYON 07;100;96;98;LYON
LYCEE PIERRE TERMIER;2014;LYON 08;83;83;96;LYON
LYCEE   (GENERAL ET TECHNO.);2014;MAURIAC;83;90;92;CLERMONT-FERRAND
LYCEE DE HAUTE AUVERGNE (GENERAL ET TECHNO.);2014;SAINT-FLOUR;67;97;97;CLERMONT-FERRAND
LYCEE NOTRE DAME DU CHATEAU;2014;MONISTROL SUR LOIRE;100;93;100;CLERMONT-FERRAND
LYCEE ST VINCENT DE PAUL;2015;SOISSONS;;;;AMIENS
LYCEE JEAN-BAPTISTE VATELOT;2014;TOUL;;88;50;NANCY-METZ
LYCEE JACQUES CALLOT;2014;VANDOEUVRE LES NANCY;90;79;94;NANCY-METZ
LYCEE ST CAPRAIS;2015;AGEN;100;96;95;BORDEAUX
INSTITUT LEMONNIER;2015;CAEN;;;75;CAEN
LYCEE TEYSSIER;2014;BITCHE;95;98;97;NANCY-METZ
LYCEE CHARLES FRANCOIS LEBRUN;2015;COUTANCES;87;89;95;CAEN
LYCEE JEAN GUEHENNO (GENERAL ET TECHNO.);2015;FLERS;96;94;91;CAEN
LYCEE JEAN-BAPTISTE COLBERT;2014;THIONVILLE;;93;96;NANCY-METZ
LYCEE CAMPUS SAINTE THERESE;2015;OZOIR LA FERRIERE;100;98;100;CRETEIL
LYCEE FRANCOISE CABRINI;2015;NOISY LE GRAND;100;100;97;CRETEIL
LYCEE AUGUSTE ET JEAN RENOIR;2014;ANGERS;95;98;98;NANTES
LYCEE MARX DORMOY (GENERAL ET TECHNO.);2015;CHAMPIGNY SUR MARNE;100;96;85;CRETEIL
LYCEE FERNAND RENAUDEAU (GENERAL ET TECHNO.);2014;CHOLET;92;92;96;NANTES
LYCEE MARGUERITE YOURCENAR;2014;LE MANS;94;95;94;NANTES
LYCEE ST MICHEL DES PERRAIS;2014;PARIGNE LE POLIN;;92;67;NANTES
LYCEE ND DU ROC;2014;LA ROCHE SUR YON;89;100;99;NANTES
LYCEE LA CHATAIGNERAIE (GENERAL ET TECHNO.);2014;LE MESNIL ESNARD;;;;ROUEN
LYCEE LES EAUX CLAIRES;2015;GRENOBLE;88;94;88;GRENOBLE
LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.);2014;ERSTEIN;100;94;94;STRASBOURG
LYCEE MELKIOR GARRE (GENERAL ET TECHNO.);2015;CAYENNE;88;78;58;GUYANE
LYCEE ORT MAURICE GRYNFOGEL;2014;COLOMIERS;;;;TOULOUSE
LYCEE RIVE GAUCHE;2014;TOULOUSE;92;86;95;TOULOUSE
LYCEE ANDRE LURCAT (GENERAL ET TECHNO.);2015;MAUBEUGE;;83;69;LILLE
LYCEE SAINT MICHEL;2015;SOLESMES;100;93;98;LILLE
LYCEE ROBESPIERRE;2015;ARRAS;97;92;94;LILLE
LYCEE LA SOURCE;2014;MEUDON;100;93;100;VERSAILLES
LYCEE NOTRE DAME;2014;MANTES LA JOLIE;100;100;99;VERSAILLES
LYCEE SAINT JEAN DE GARGUIER;2015;GEMENOS;100;97;91;AIX-MARSEILLE
LYCEE BLAISE PASCAL;2015;LONGUENESSE;;;94;LILLE
LYCEE CHARLES PEGUY;2015;MARSEILLE 06;;85;;AIX-MARSEILLE
LYCEE ALPHONSE DAUDET;2015;TARASCON;78;89;88;AIX-MARSEILLE
LYCEE ST JOSEPH;2015;CARPENTRAS;100;82;100;AIX-MARSEILLE
LYCEE ROSA PARKS;2015;MONTGERON;92;92;89;VERSAILLES
LYCEE LA MARTINIERE MONPLAISIR;2015;LYON 08;;;97;LYON
LYCEE NOTRE-DAME;2015;MEUDON;100;100;100;VERSAILLES
LYCEE L'AGORA;2015;PUTEAUX;;89;90;VERSAILLES
LYCEE EUGENE RONCERAY (GENERAL ET TECHNO.);2015;BEZONS;80;88;70;VERSAILLES
LYCEE SAINT-JOSEPH (GENERAL ET TECHNO.);2015;SETE;91;100;100;MONTPELLIER
LYCEE HENRI POINCARE;2015;NANCY;97;91;94;NANCY-METZ
LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.);2016;MARTIGUES;81;78;91;AIX-MARSEILLE
LYCEE ISMAEL DAUPHIN;2016;CAVAILLON;90;87;90;AIX-MARSEILLE
LYCEE MAINTENON (GENERAL ET TECHNO.);2016;HYERES;100;100;97;NICE
LYCEE FILIERE BOIS ANDRE MALRAUX (GENERAL ET TECHNO.);2015;REMIREMONT;91;94;92;NANCY-METZ
LYCEE ST JOSEPH;2015;MACHECOUL;92;94;98;NANTES
LYCEE UNIT? SOINS ETUDES GR?SIVAUDAN (GENERAL ET TECHNO.);2016;LA TRONCHE;86;100;91;GRENOBLE
LYCEE SAINT MARC (GENERAL ET TECHNO.);2016;NIVOLAS VERMELLE;96;98;99;GRENOBLE
LYCEE D'AMBOISE;2015;ALBI;100;100;100;TOULOUSE
LYCEE SADI CARNOT - JEAN BERTIN (GENERAL ET TECHNO.);2015;SAUMUR;;;100;NANTES
LYCEE SAINTE THERESE;2016;AVESNES SUR HELPE;100;80;77;LILLE
LYCEE ALFRED KASTLER - GUITTON (GENERAL ET TECHNO.);2015;LA ROCHE SUR YON;;89;97;NANTES
LYCEE PIERRE ET MARIE CURIE;2015;MENTON;94;89;90;NICE
LYCEE MAINTENON (GENERAL ET TECHNO.);2015;HYERES;96;100;98;NICE
LYCEE JEAN GIRAUDOUX;2015;CHATEAUROUX;91;100;95;ORLEANS-TOURS
LYCEE GRANDMONT;2015;TOURS;95;96;92;ORLEANS-TOURS
LYCEE LE REBOURS;2015;PARIS 13;;100;;PARIS
LYCEE NOTRE DAME DU GRANDCHAMP;2015;VERSAILLES;100;99;100;VERSAILLES
LYCEE CARNOT;2015;PARIS 17;96;99;95;PARIS
LYCEE MELIZAN;2016;MARSEILLE 11;100;97;99;AIX-MARSEILLE
LYCEE XAVIER MALLET (GENERAL ET TECHNO.);2016;LE TEIL;93;95;94;GRENOBLE
LYCEE DR. GUSTAVE JAUME (GENERAL ET TECHNO.);2016;PIERRELATTE;100;92;95;GRENOBLE
LYCEE LA SALLE;2015;TROYES;;;;REIMS
LYCEE MARIE DE CHAMPAGNE (GENERAL ET TECHNO.);2015;TROYES;88;97;84;REIMS
LYCEE PORTES DE L'OISANS (GENERAL ET TECHNO.);2016;VIZILLE;100;98;95;GRENOBLE
LYCEE ALAIN RENE LESAGE;2015;VANNES;71;85;95;RENNES
LYCEE L'INITIATIVE (GENERAL ET TECHNO.);2016;PARIS 19;;;;PARIS
LYCEE JEAN VILAR;2016;MEAUX;83;98;85;CRETEIL
LYCEE PRIVE AVERROES;2012;LILLE;;100;100;LILLE
LYCEE SAINT REMI;2012;ROUBAIX;88;92;94;LILLE
LYCEE RAYMOND SAVIGNAC;2015;VILLEFRANCHE DE ROUERGUE;88;91;96;TOULOUSE
LYCEE LOUIS ARMAND;2013;CHAMBERY;88;94;97;GRENOBLE
LYCEE PIERRE MENDES FRANCE;2015;VIC EN BIGORRE;95;94;88;TOULOUSE
LYCEE AMBROISE BRUGIERE;2014;CLERMONT FERRAND;93;74;80;CLERMONT-FERRAND
LYCEE MURAT;2014;ISSOIRE;97;89;83;CLERMONT-FERRAND
LYCEE NOTRE DAME DES MISSIONS;2014;CHARENTON LE PONT;100;100;99;CRETEIL
LYCEE MARCELIN BERTHELOT;2014;ST MAUR DES FOSSES;93;100;99;CRETEIL
LYCEE EPIN;2014;VITRY SUR SEINE;100;100;100;CRETEIL
LYCEE DE L'ESCAUT;2013;VALENCIENNES;89;88;98;LILLE
LYCEE MME DE STAEL;2014;ST JULIEN GENEVOIS;91;92;95;GRENOBLE
LYCEE DE LA PLAINE DE L'AIN;2013;AMBERIEU EN BUGEY;86;97;97;LYON
LYCEE DE LA COTIERE;2013;LA BOISSE;90;91;93;LYON
LYCEE BELLEPIERRE;2014;ST DENIS;86;91;93;LA REUNION
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2014;ST DENIS;93;89;92;LA REUNION
LYCEE CLAUDE BERNARD (GENERAL ET TECHNO.);2013;VILLEFRANCHE/SAONE;83;82;95;LYON
LYCEE AMEP (GENERAL ET TECHNO.);2013;FORT DE FRANCE;89;72;83;MARTINIQUE
LYCEE ACAJOU 2 (GENERAL ET TECHNO.);2013;LE LAMENTIN;94;88;99;MARTINIQUE
LYCEE JEAN ROSTAND;2012;CHANTILLY CEDEX;83;90;88;AMIENS
LYCEE GEORGE SAND;2012;NERAC;90;95;96;BORDEAUX
LYCEE FERNAND DAGUIN;2012;MERIGNAC CEDEX;85;90;94;BORDEAUX
LYCEE LES HABERGES;2012;VESOUL CEDEX;97;96;88;BESANCON
LYCEE RAYMOND QUENEAU;2014;VILLENEUVE D ASCQ;89;81;85;LILLE
LYCEE JEAN HENRI FABRE (GENERAL ET TECHNO.);2012;CARPENTRAS CEDEX;89;89;94;AIX-MARSEILLE
LYCEE JEAN BOSCO;2014;GUINES;;;;LILLE
LYCEE FERNAND DARCHICOURT;2014;HENIN BEAUMONT;85;78;91;LILLE
LYCEE GIRAUX SANNIER (GENERAL ET TECHNO.);2014;ST MARTIN BOULOGNE;;94;98;LILLE
LYCEE LES FAUVETTES;2014;CANNES;;;;NICE
LYCEE THIBAUT DE CHAMPAGNE (GENERAL ET TECHNO.);2012;PROVINS;88;75;98;CRETEIL
LYCEE LOUIS BARTHOU;2012;PAU CEDEX;91;98;97;BORDEAUX
LYCEE BERNAT  ETXEPARE;2012;BAYONNE;100;96;97;BORDEAUX
LYCEE REGIONAL ANNE-SOPHIE PIC (GENERAL ET TECHNO.);2014;TOULON;;;;NICE
LYCEE MALHERBE;2012;CAEN CEDEX;99;90;91;CAEN
LYCEE SAINT FRANCOIS DE SALES (GENERAL ET TECHNO.);2014;GIEN;86;93;86;ORLEANS-TOURS
LYCEE BATIMENT-SAINT-LAMBERT;2014;PARIS 15;;;;PARIS
ECOLE  INTERNATIONAL BILINGUE;2014;PARIS 17;100;98;91;PARIS
LYCEE SAINT-MICHEL DES BATIGNOLLES;2014;PARIS 17;96;100;97;PARIS
LYCEE SEVIGNE;2014;CHARLEVILLE MEZIERES;96;91;93;REIMS
LYCEE TRISTAN CORBIERE;2012;MORLAIX CEDEX;91;96;95;RENNES
LYCEE IMMACULEE CONCEPTION;2014;ST DIZIER;100;93;98;REIMS
LYCEE LE LIKES;2012;QUIMPER CEDEX;97;100;97;RENNES
LYCEE STE THERESE;2012;RENNES CEDEX;;;;RENNES
LYCEE JEAN MACE (GENERAL ET TECHNO.);2012;LANESTER CEDEX;96;82;92;RENNES
LYCEE FENELON;2012;ELBEUF CEDEX;100;100;100;ROUEN
LYCEE GALILEE;2012;FRANQUEVILLE ST PIERRE;90;82;96;ROUEN
LYCEE JULIETTE R?CAMIER;2014;LYON 02;90;70;75;LYON
LYCEE SAINTE-ELISABETH;2013;PARIS 15;92;100;100;PARIS
LYCEE EIC MARIE NOEL;2012;TOURCOING;;;;LILLE
LYCEE COLBERT (GENERAL ET TECHNO.);2012;TOURCOING CEDEX;;;89;LILLE
LYCEE PABLO PICASSO (GENERAL ET TECHNO.);2012;AVION;89;76;80;LILLE
LYCEE LEO LAGRANGE;2012;BULLY LES MINES;;87;60;LILLE
LYCEE DE L'AA;2012;ST OMER CEDEX;;;;LILLE
LYCEE ALBERT EINSTEIN;2018;STE GENEVIEVE DES BOIS CED;85;91;93;VERSAILLES
LYCEE ELIE VINET;2013;BARBEZIEUX ST HILAIRE;100;90;94;POITIERS
LYCEE EVARISTE GALOIS (GENERAL ET TECHNO.);2018;BEAUMONT SUR OISE;89;81;89;VERSAILLES
LYCEE LA SAGESSE;2014;VALENCIENNES;;;;LILLE
LYCEE HOTELIER (GENERAL ET TECHNO.);2014;LE TOUQUET PARIS PLAGE;;;;LILLE
LYCEE EVARISTE GALOIS;2018;SARTROUVILLE;92;88;95;VERSAILLES
LYCEE PLAINE DE NEAUPHLE;2018;TRAPPES;67;69;69;VERSAILLES
LYCEE JULES FERRY (GENERAL ET TECHNO.);2018;VERSAILLES;88;88;89;VERSAILLES
LYCEE ND DE VALBENOITE LE ROND POINT;2014;ST ETIENNE;89;90;95;LYON
LYCEE JEAN ROSE (GENERAL ET TECHNO.);2014;MEAUX;;;;CRETEIL
LYCEE NOTRE DAME DES MINIMES;2014;LYON 05;100;96;96;LYON
LYCEE JEAN PERRIN;2014;LYON 09;92;82;85;LYON
LYCEE PARC CHABRIERES;2014;OULLINS;85;77;93;LYON
LYCEE RENE CASSIN;2014;TARARE;83;97;96;LYON
LYCEE JULES FIL (GENERAL ET TECHNO.);2014;CARCASSONNE;94;90;92;MONTPELLIER
LYCEE DE LA SALLE;2014;ALES;;;100;MONTPELLIER
LYCEE AUGUSTE BLANQUI (GENERAL ET TECHNO.);2014;ST OUEN;85;66;68;CRETEIL
LYCEE SACRE-COEUR;2014;ST CHELY D APCHER;;100;;MONTPELLIER
LYCEE FERNAND LEGER (GENERAL ET TECHNO.);2014;IVRY SUR SEINE;;;;CRETEIL
LYCEE CONDORCET (GENERAL ET TECHNO.);2014;SCHOENECK;;;94;NANCY-METZ
LYCEE E.J. MAREY (GENERAL ET TECHNO.);2014;BEAUNE;100;97;94;DIJON
LYCEE CHEVROLLIER (GENERAL ET TECHNO.);2014;ANGERS;100;93;93;NANTES
LYCEE ND D'ORVEAU;2014;NYOISEAU;100;78;96;NANTES
LYCEE JACQUES COEUR;2014;BOURGES;;90;91;ORLEANS-TOURS
LYCEE MONTPLAISIR;2014;VALENCE;;;;GRENOBLE
LYCEE SAINTE-GENEVIEVE;2014;PARIS 06;100;97;97;PARIS
LYCEE SAINTE-JEANNE ELISABETH;2014;PARIS 07;;100;100;PARIS
LYCEE CATHERINE LABOURE (GENERAL ET TECHNO.);2014;PARIS 14;;88;;PARIS
LYCEE ELIE CARTAN (GENERAL ET TECHNO.);2014;LA TOUR DU PIN;94;90;99;GRENOBLE
LYCEE JEAN DE LA FONTAINE;2014;PARIS 16;100;96;98;PARIS
LYCEE POINTE NOIRE (GENERAL ET TECHNO.);2014;POINTE NOIRE;100;85;95;GUADELOUPE
LYCEE SAINTE MARTHE CHAVAGNES;2014;ANGOULEME;;91;;POITIERS
LYCEE ANTOINE ROUSSIN;2014;ST LOUIS;95;98;87;LA REUNION
LYCEE DE L'EUROPE;2014;DUNKERQUE;71;68;85;LILLE
LYCEE JEAN ROSTAND;2014;ROUBAIX;;;63;LILLE
LYCEE JEAN DURAND (GENERAL ET TECHNO.);2015;CASTELNAUDARY;93;86;94;MONTPELLIER
LYCEE AUGUSTE PAVIE;2014;GUINGAMP;79;93;94;RENNES
LYCEE NOTRE DAME;2014;GUINGAMP;100;93;86;RENNES
LYCEE ANDRE MALRAUX;2015;ALLONNES;100;91;90;NANTES
LYCEE D'ESTOURNELLES DE CONSTANT (GENERAL ET TECHNO.);2015;LA FLECHE;100;93;93;NANTES
LYCEE PERSEIGNE (GENERAL ET TECHNO.);2015;MAMERS;100;100;95;NANTES
LYCEE STE URSULE (GENERAL ET TECHNO.);2015;LUCON;100;94;96;NANTES
LYCEE JACQUES AUDIBERTI;2015;ANTIBES;91;94;87;NICE
LYCEE SAINT PAUL (GENERAL ET TECHNO.);2015;CHARLEVILLE MEZIERES;100;96;93;REIMS
LYCEE CAMILLE CLAUDEL;2015;TROYES;90;96;95;REIMS
LYCEE SAINT GATIEN;2015;JOUE LES TOURS;100;100;94;ORLEANS-TOURS
